date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-16,Madison,6,18095,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Marion,5,18097,161,0,0,161,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Miami,3,18103,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Monroe,8,18105,4,0,0,4,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Morgan,5,18109,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Newton,1,18111,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Noble,3,18113,15,0,0,15,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Orange,8,18117,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Out of State,Out of State,Out of State,328,0,0,328,0,0,1,0,0,1,0,0,2021-10-19 05:00:00
2020-12-16,Perry,10,18123,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Pike,10,18125,7,0,0,7,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Porter,1,18127,64,0,0,64,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Posey,10,18129,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Putnam,7,18133,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Scott,9,18143,20,0,0,20,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Shelby,5,18145,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Spencer,10,18147,17,0,0,17,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,St. Joseph,2,18141,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Starke,2,18149,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Steuben,3,18151,8,0,0,8,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Tippecanoe,4,18157,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Union,6,18161,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Vanderburgh,10,18163,232,0,0,232,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Vermillion,7,18165,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Vigo,7,18167,2,0,0,2,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Wabash,3,18169,3,0,0,3,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Warrick,10,18173,239,0,0,239,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Washington,8,18175,13,0,0,13,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-16,Wells,3,18179,1,0,0,1,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
