Date,County,ED Visit Count,Hospitalization Count
2020-03-29,Bartholomew,3,1
2020-03-30,Bartholomew,1,0
2020-03-31,Bartholomew,3,2
2020-04-01,Bartholomew,2,1
2020-04-02,Bartholomew,1,1
2020-04-03,Bartholomew,4,1
2020-04-04,Bartholomew,1,0
2020-04-05,Bartholomew,2,1
2020-04-06,Bartholomew,3,1
2020-04-07,Bartholomew,2,0
2020-04-08,Bartholomew,2,1
2020-04-09,Bartholomew,2,1
2020-04-10,Bartholomew,3,3
2020-04-11,Bartholomew,4,1
2020-04-12,Bartholomew,2,1
2020-04-13,Bartholomew,2,0
2020-04-14,Bartholomew,0,0
2020-04-15,Bartholomew,1,1
2020-04-16,Bartholomew,0,0
2020-04-17,Bartholomew,3,2
2020-04-18,Bartholomew,4,1
2020-04-19,Bartholomew,2,1
2020-04-20,Bartholomew,2,2
2020-04-21,Bartholomew,5,2
2020-04-22,Bartholomew,1,2
2020-04-23,Bartholomew,5,3
2020-04-24,Bartholomew,1,1
2020-04-25,Bartholomew,8,4
2020-04-26,Bartholomew,3,2
2020-04-27,Bartholomew,6,3
2020-04-28,Bartholomew,6,3
2020-04-29,Bartholomew,2,1
2020-04-30,Bartholomew,4,3
2020-05-01,Bartholomew,5,2
2020-05-02,Bartholomew,7,4
2020-05-03,Bartholomew,3,0
2020-05-04,Bartholomew,8,4
2020-05-05,Bartholomew,4,2
2020-05-06,Bartholomew,2,1
2020-05-07,Bartholomew,3,1
2020-05-08,Bartholomew,1,0
2020-05-09,Bartholomew,5,2
2020-05-10,Bartholomew,1,1
2020-05-11,Bartholomew,5,1
2020-05-12,Bartholomew,7,0
2020-05-13,Bartholomew,5,3
2020-05-14,Bartholomew,4,2
2020-05-15,Bartholomew,6,3
2020-05-16,Bartholomew,3,1
2020-05-17,Bartholomew,4,3
2020-05-18,Bartholomew,1,1
2020-05-19,Bartholomew,0,1
2020-05-20,Bartholomew,3,1
2020-05-21,Bartholomew,2,1
2020-05-22,Bartholomew,5,3
2020-05-23,Bartholomew,0,0
2020-05-24,Bartholomew,2,0
2020-05-25,Bartholomew,2,0
2020-05-26,Bartholomew,3,1
2020-05-27,Bartholomew,1,1
2020-05-28,Bartholomew,0,0
2020-05-29,Bartholomew,3,0
2020-05-30,Bartholomew,0,0
2020-05-31,Bartholomew,0,0
2020-06-01,Bartholomew,0,0
2020-06-02,Bartholomew,4,2
2020-06-03,Bartholomew,0,0
2020-06-04,Bartholomew,2,3
2020-06-05,Bartholomew,4,3
2020-06-06,Bartholomew,3,1
2020-06-07,Bartholomew,0,0
2020-06-08,Bartholomew,0,0
2020-06-09,Bartholomew,0,0
2020-06-10,Bartholomew,4,0
2020-06-11,Bartholomew,1,0
2020-06-12,Bartholomew,0,0
2020-06-13,Bartholomew,1,0
2020-06-14,Bartholomew,0,0
2020-06-15,Bartholomew,2,1
2020-06-16,Bartholomew,1,0
2020-06-17,Bartholomew,0,0
2020-06-18,Bartholomew,1,0
2020-06-19,Bartholomew,2,0
2020-06-20,Bartholomew,0,0
2020-06-21,Bartholomew,1,0
2020-06-22,Bartholomew,1,0
2020-06-23,Bartholomew,2,0
2020-06-24,Bartholomew,4,1
2020-06-25,Bartholomew,2,1
2020-06-26,Bartholomew,0,0
2020-06-27,Bartholomew,2,0
2020-06-28,Bartholomew,1,0
2020-06-29,Bartholomew,2,0
2020-06-30,Bartholomew,1,0
2020-07-01,Bartholomew,4,0
2020-07-02,Bartholomew,2,0
2020-07-03,Bartholomew,1,0
2020-07-04,Bartholomew,1,0
2020-07-05,Bartholomew,3,2
2020-07-06,Bartholomew,2,0
2020-07-07,Bartholomew,2,0
2020-07-08,Bartholomew,4,0
2020-07-09,Bartholomew,2,0
2020-07-10,Bartholomew,1,0
2020-07-11,Bartholomew,2,1
2020-07-12,Bartholomew,1,1
2020-07-13,Bartholomew,4,1
2020-07-14,Bartholomew,2,0
2020-07-15,Bartholomew,5,3
2020-07-16,Bartholomew,4,2
2020-07-17,Bartholomew,4,1
2020-07-18,Bartholomew,4,1
2020-07-19,Bartholomew,6,1
2020-07-20,Bartholomew,2,0
2020-07-21,Bartholomew,5,2
2020-07-22,Bartholomew,5,1
2020-07-23,Bartholomew,2,0
2020-07-24,Bartholomew,5,1
2020-07-25,Bartholomew,2,0
2020-07-26,Bartholomew,7,1
2020-07-27,Bartholomew,4,0
2020-07-28,Bartholomew,2,0
2020-07-29,Bartholomew,3,2
2020-07-30,Bartholomew,1,0
2020-07-31,Bartholomew,0,0
2020-08-01,Bartholomew,3,1
2020-08-02,Bartholomew,2,2
2020-08-03,Bartholomew,2,1
2020-08-04,Bartholomew,2,0
2020-08-05,Bartholomew,2,0
2020-08-06,Bartholomew,1,1
2020-08-07,Bartholomew,4,3
2020-08-08,Bartholomew,4,3
2020-08-09,Bartholomew,5,2
2020-08-10,Bartholomew,0,1
2020-08-11,Bartholomew,10,4
2020-08-12,Bartholomew,4,1
2020-08-13,Bartholomew,5,2
2020-08-14,Bartholomew,3,1
2020-08-15,Bartholomew,6,4
2020-08-16,Bartholomew,6,2
2020-08-17,Bartholomew,4,2
2020-08-18,Bartholomew,2,1
2020-08-19,Bartholomew,3,1
2020-08-20,Bartholomew,6,2
2020-08-21,Bartholomew,4,1
2020-08-22,Bartholomew,6,4
2020-08-23,Bartholomew,8,3
2020-08-24,Bartholomew,9,2
2020-08-25,Bartholomew,4,1
2020-08-26,Bartholomew,0,0
2020-08-27,Bartholomew,1,1
2020-08-28,Bartholomew,3,1
2020-08-29,Bartholomew,1,1
2020-08-30,Bartholomew,2,0
2020-08-31,Bartholomew,5,2
2020-09-01,Bartholomew,2,0
2020-09-02,Bartholomew,3,0
2020-09-03,Bartholomew,0,0
2020-09-04,Bartholomew,1,1
2020-09-05,Bartholomew,1,0
2020-09-06,Bartholomew,2,0
2020-09-07,Bartholomew,3,0
2020-09-08,Bartholomew,1,2
2020-09-09,Bartholomew,1,0
2020-09-10,Bartholomew,4,1
2020-09-11,Bartholomew,1,0
2020-09-12,Bartholomew,3,0
2020-09-13,Bartholomew,1,0
2020-09-14,Bartholomew,0,0
2020-09-15,Bartholomew,0,0
2020-09-16,Bartholomew,1,0
2020-09-17,Bartholomew,3,0
2020-09-18,Bartholomew,2,0
2020-09-19,Bartholomew,2,1
2020-09-20,Bartholomew,1,0
2020-09-21,Bartholomew,1,1
2020-09-22,Bartholomew,1,0
2020-09-23,Bartholomew,1,1
2020-09-24,Bartholomew,1,1
2020-09-25,Bartholomew,2,0
2020-09-26,Bartholomew,1,1
2020-09-27,Bartholomew,3,0
2020-09-28,Bartholomew,3,0
2020-09-29,Bartholomew,3,0
2020-09-30,Bartholomew,0,2
2020-10-01,Bartholomew,0,0
2020-10-02,Bartholomew,1,1
2020-10-03,Bartholomew,2,0
2020-10-04,Bartholomew,0,0
2020-10-05,Bartholomew,5,2
2020-10-06,Bartholomew,4,0
2020-10-07,Bartholomew,2,0
2020-10-08,Bartholomew,4,1
2020-10-09,Bartholomew,2,0
2020-10-10,Bartholomew,3,0
2020-10-11,Bartholomew,4,2
2020-10-12,Bartholomew,2,0
2020-10-13,Bartholomew,5,0
2020-10-14,Bartholomew,1,1
2020-10-15,Bartholomew,0,0
2020-10-16,Bartholomew,0,0
2020-10-17,Bartholomew,2,0
2020-10-18,Bartholomew,4,1
2020-10-19,Bartholomew,6,3
2020-10-20,Bartholomew,3,1
2020-10-21,Bartholomew,4,1
2020-10-22,Bartholomew,3,0
2020-10-23,Bartholomew,4,1
2020-10-24,Bartholomew,1,1
2020-10-25,Bartholomew,2,2
2020-10-26,Bartholomew,5,3
2020-10-27,Bartholomew,2,1
2020-10-28,Bartholomew,5,1
2020-10-29,Bartholomew,4,1
2020-10-30,Bartholomew,9,3
2020-10-31,Bartholomew,7,1
2020-11-01,Bartholomew,7,2
2020-11-02,Bartholomew,4,1
2020-11-03,Bartholomew,9,1
2020-11-04,Bartholomew,6,3
2020-11-05,Bartholomew,3,0
2020-11-06,Bartholomew,11,4
2020-11-07,Bartholomew,6,2
2020-11-08,Bartholomew,5,1
2020-11-09,Bartholomew,8,3
2020-11-10,Bartholomew,10,3
2020-11-11,Bartholomew,10,5
2020-11-12,Bartholomew,7,2
2020-11-13,Bartholomew,3,1
2020-11-14,Bartholomew,7,6
2020-11-15,Bartholomew,8,1
2020-03-01,Benton,0,0
2020-03-02,Benton,0,0
2020-03-03,Benton,0,0
2020-03-04,Benton,0,0
2020-03-05,Benton,0,0
2020-03-06,Benton,0,0
2020-03-07,Benton,0,0
2020-03-08,Benton,0,0
2020-03-09,Benton,0,0
2020-03-10,Benton,0,0
2020-03-11,Benton,0,0
